Dataset,Filas,Columnas,Nulos promedio %,Filas duplicadas,Time nulos,Cols constantes,Cols >95% nulo,Frecuencia aprox.,Cols const. nombres
air_temp,1461,13,37.4,0,0,0,0,0 days 06:00:00,-
epar,1461,25,37.1,0,0,0,0,0 days 06:00:00,-
irradiance,1753,5,29.6,0,0,0,0,0 days 02:00:00,-
pv_temp,1753,9,29.6,0,0,0,0,0 days 02:00:00,-
soil_temp,1461,15,44.7,0,0,0,0,0 days 06:00:00,-
soil_vwc,1461,15,46.6,0,0,0,0,0 days 06:00:00,-
tracking,1461,11,30.5,0,0,0,0,0 days 06:00:00,-
wind_speed,1461,2,45.4,0,0,0,0,0 days 06:00:00,-
wind_dir,731,2,30.1,0,0,0,0,0 days 12:00:00,-
precip_type,60501,2,100.0,0,0,1,1,0 days 00:05:00,Precipitation Type
precip_cumsum,60502,2,0.0,0,0,0,0,0 days 00:05:00,-
